#X	Y	T = 0	T = 0.025	T = 0.05	T = 0.075	T = 0.1	T = 0.125	T = 0.15	T = 0.175	T = 0.2	T = 0.225	T = 0.25	T = 0.275	T = 0.3	T = 0.325	T = 0.35	T = 0.375	T = 0.4	T = 0.425	T = 0.45	T = 0.475	T = 0.5	T = 0.525	T = 0.55	T = 0.575	T = 0.6	T = 0.625	T = 0.65	T = 0.675	T = 0.7	T = 0.725	T = 0.75	T = 0.775	T = 0.8	T = 0.825	T = 0.85	T = 0.875	T = 0.9	T = 0.925	T = 0.95	T = 0.975	T = 1
0.1	0.8	0	0.00954465	0.0149665	0.0180259	0.0196763	0.0204561	0.0206826	0.0205503	0.0201829	0.0196616	0.019041	0.0183585	0.0176404	0.0169051	0.0161656	0.0154314	0.014709	0.0140032	0.0133171	0.012653	0.0120123	0.0113958	0.0108039	0.0102367	0.009694	0.00917547	0.00868063	0.0082089	0.00775961	0.00733208	0.00692556	0.0065393	0.00617253	0.00582448	0.00549439	0.00518149	0.00488503	0.0046043	0.00433857	0.00408715	0.00384937
0.1	0.9	0	0.00501786	0.00786801	0.00947579	0.0103422	0.0107502	0.0108666	0.0107939	0.0105971	0.0103192	0.00998898	0.00962645	0.00924545	0.00885582	0.00846449	0.00807641	0.00769507	0.00732291	0.00696159	0.00661223	0.00627553	0.00595187	0.0056414	0.00534413	0.00505992	0.00478855	0.00452973	0.00428313	0.00404837	0.00382507	0.00361282	0.00341121	0.00321981	0.00303823	0.00286604	0.00270285	0.00254825	0.00240187	0.00226331	0.00213223	0.00200826
0.1	1	0	3.4984e-17	3.23415e-17	2.98986e-17	2.76402e-17	2.55524e-17	2.36223e-17	2.1838e-17	2.01885e-17	1.86635e-17	1.72538e-17	1.59505e-17	1.47457e-17	1.36319e-17	1.26022e-17	1.16503e-17	1.07703e-17	9.95678e-18	9.2047e-18	8.50942e-18	7.86667e-18	7.27246e-18	6.72314e-18	6.21531e-18	5.74583e-18	5.31182e-18	4.9106e-18	4.53968e-18	4.19677e-18	3.87977e-18	3.58671e-18	3.31579e-18	3.06533e-18	2.83379e-18	2.61974e-18	2.42186e-18	2.23893e-18	2.06981e-18	1.91347e-18	1.76894e-18	1.63532e-18

0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.2	0.1	0	0.0107347	0.0176206	0.0220248	0.0247707	0.0263805	0.0271977	0.027455	0.0273137	0.0268883	0.0262611	0.0254928	0.024628	0.0237005	0.0227354	0.021752	0.0207649	0.019785	0.0188205	0.0178778	0.0169613	0.0160742	0.0152188	0.0143966	0.0136083	0.0128542	0.0121343	0.0114483	0.0107953	0.0101748	0.0095858	0.00902724	0.00849806	0.00799715	0.00752335	0.0070755	0.00665245	0.00625306	0.00587619	0.00552076	0.00518569
0.2	0.2	0	0.00498674	0.0105806	0.0155269	0.0194899	0.022481	0.0246256	0.026072	0.0269574	0.0273987	0.0274917	0.0273135	0.0269261	0.0263788	0.0257111	0.0249545	0.0241344	0.0232711	0.0223808	0.0214765	0.0205687	0.0196655	0.0187736	0.0178979	0.0170426	0.0162106	0.015404	0.0146246	0.0138734	0.013151	0.0124578	0.0117936	0.0111584	0.0105518	0.0099731	0.00942175	0.00889699	0.00839802	0.00792397	0.00747398	0.00704712
0.2	0.3	0	0.00439396	0.00949871	0.0142561	0.018292	0.0215307	0.0240193	0.0258491	0.0271202	0.027927	0.0283528	0.0284692	0.0283364	0.0280045	0.0275152	0.0269031	0.0261967	0.0254197	0.0245913	0.0237277	0.022842	0.021945	0.0210455	0.0201506	0.0192661	0.0183967	0.0175461	0.0167169	0.0159115	0.0151314	0.0143778	0.0136514	0.0129527	0.0122817	0.0116385	0.0110227	0.010434	0.00987178	0.00933553	0.00882453	0.00833803
0.2	0.4	0	0.00468974	0.0099166	0.0146599	0.0186243	0.0217889	0.0242277	0.0260399	0.0273237	0.0281672	0.0286467	0.028827	0.028763	0.0285007	0.0280786	0.0275292	0.0268796	0.0261528	0.0253677	0.0245403	0.0236839	0.0228097	0.0219268	0.0210428	0.0201641	0.0192958	0.0184419	0.0176059	0.0167904	0.0159974	0.0152284	0.0144845	0.0137666	0.013075	0.01241	0.0117715	0.0111595	0.0105735	0.0100131	0.00947789	0.00896715
0.2	0.5	0	0.00483458	0.0101174	0.0148072	0.0186403	0.0216354	0.0238985	0.0255493	0.0266968	0.0274335	0.0278356	0.0279656	0.0278745	0.0276047	0.0271908	0.026662	0.0260423	0.0253521	0.0246083	0.0238251	0.0230146	0.0221866	0.0213496	0.0205106	0.0196754	0.0188487	0.0180344	0.0172358	0.0164553	0.0156951	0.0149566	0.014241	0.0135491	0.0128815	0.0122385	0.0116202	0.0110265	0.0104572	0.00991204	0.0093905	0.00889214
0.2	0.6	0	0.00457818	0.00954727	0.0139143	0.0174361	0.0201429	0.0221485	0.0235776	0.0245414	0.0251327	0.0254262	0.0254814	0.0253463	0.0250591	0.0246509	0.0241472	0.0235687	0.0229325	0.0222529	0.0215419	0.0208093	0.0200633	0.019311	0.018558	0.0178091	0.0170684	0.0163391	0.0156237	0.0149245	0.0142432	0.013581	0.012939	0.0123178	0.011718	0.0111399	0.0105835	0.0100488	0.0095357	0.00904387	0.00857299	0.00812265
0.2	0.7	0	0.00389046	0.00810406	0.0117925	0.0147481	0.0169989	0.0186451	0.0197973	0.020554	0.0209976	0.0211937	0.0211949	0.0210425	0.0207693	0.0204014	0.0199598	0.0194615	0.0189203	0.0183473	0.0177519	0.0171417	0.0165229	0.0159009	0.01528	0.0146637	0.014055	0.0134563	0.0128697	0.0122966	0.0117383	0.0111959	0.01067	0.0101612	0.00966975	0.00919595	0.00873984	0.00830137	0.0078804	0.00747674	0.00709009	0.00672013
0.2	0.8	0	0.00282584	0.0058843	0.00855753	0.0106938	0.0123133	0.0134894	0.0143035	0.0148288	0.0151262	0.0152449	0.0152238	0.0150938	0.014879	0.0145987	0.0142682	0.0138994	0.0135024	0.0130848	0.0126533	0.0122128	0.0117678	0.0113218	0.0108775	0.0104375	0.0100035	0.00957728	0.00915998	0.00875265	0.00835611	0.00797096	0.00759767	0.00723656	0.00688785	0.00655164	0.00622797	0.00591678	0.00561797	0.00533138	0.00505682	0.00479405
0.2	0.9	0	0.00148553	0.00309298	0.00449722	0.00561817	0.00646624	0.0070801	0.00750265	0.00777264	0.00792246	0.00797829	0.00796092	0.00788675	0.00776872	0.00761704	0.00743975	0.00724327	0.00703271	0.00681215	0.00658489	0.0063536	0.00612043	0.00588714	0.00565517	0.00542569	0.00519965	0.0049778	0.00476079	0.00454909	0.00434308	0.00414308	0.00394928	0.00376185	0.00358088	0.00340641	0.00323845	0.00307697	0.00292191	0.00277319	0.00263069	0.00249429
0.2	1	0	6.65435e-17	6.15172e-17	5.68705e-17	5.25748e-17	4.86036e-17	4.49323e-17	4.15384e-17	3.84008e-17	3.55002e-17	3.28187e-17	3.03397e-17	2.8048e-17	2.59294e-17	2.39709e-17	2.21602e-17	2.04864e-17	1.89389e-17	1.75084e-17	1.61859e-17	1.49633e-17	1.3833e-17	1.27882e-17	1.18222e-17	1.09292e-17	1.01037e-17	9.34051e-18	8.63498e-18	7.98274e-18	7.37976e-18	6.82233e-18	6.30701e-18	5.83061e-18	5.3902e-18	4.98305e-18	4.60666e-18	4.25869e-18	3.93701e-18	3.63963e-18	3.36471e-18	3.11056e-18

0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.3	0.1	0	0.0134149	0.0213906	0.0262322	0.0291516	0.0308257	0.0316572	0.0319004	0.0317246	0.0312472	0.0305527	0.0297033	0.0287454	0.0277146	0.0266379	0.0255363	0.024426	0.0233193	0.0222259	0.0211531	0.0201064	0.0190899	0.0181066	0.0171584	0.0162466	0.0153719	0.0145346	0.0137345	0.0129712	0.012244	0.0115521	0.0108945	0.0102702	0.00967792	0.00911661	0.00858501	0.00808189	0.00760603	0.00715622	0.00673126	0.00632997
