X	Y	T = 0	T = 0.025	T = 0.05	T = 0.075	T = 0.1	T = 0.125	T = 0.15	T = 0.175	T = 0.2	T = 0.225	T = 0.25	T = 0.275	T = 0.3	T = 0.325	T = 0.35	T = 0.375	T = 0.4	T = 0.425	T = 0.45	T = 0.475	T = 0.5	T = 0.525	T = 0.55	T = 0.575	T = 0.6	T = 0.625	T = 0.65	T = 0.675	T = 0.7	T = 0.725	T = 0.75	T = 0.775	T = 0.8	T = 0.825	T = 0.85	T = 0.875	T = 0.9	T = 0.925	T = 0.95	T = 0.975	T = 1
0.1	0.8	0.181636	0.180726	0.176191	0.169951	0.162933	0.155613	0.14825	0.140991	0.13392	0.127086	0.120514	0.11422	0.108206	0.102473	0.0970149	0.0918259	0.086897	0.0822188	0.0777812	0.073574	0.0695869	0.0658098	0.0622326	0.0588456	0.0556394	0.052605	0.0497336	0.0470168	0.0444467	0.0420155	0.0397161	0.0375414	0.0354848	0.0335401	0.0317013	0.0299627	0.028319	0.026765	0.0252959	0.0239071	0.0225943
0.1	0.9	0.0954915	0.0945606	0.0919461	0.0885482	0.0848011	0.0809292	0.0770545	0.0732463	0.0695444	0.0659716	0.0625403	0.0592564	0.0561216	0.0531349	0.0502934	0.0475933	0.0450298	0.0425977	0.0402917	0.0381062	0.0360358	0.0340751	0.0322188	0.0304617	0.0287989	0.0272255	0.025737	0.0243289	0.0229971	0.0217376	0.0205465	0.0194202	0.0183553	0.0173484	0.0163965	0.0154966	0.0146458	0.0138416	0.0130813	0.0123627	0.0116835
0.1	1	3.78424e-17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.2	0.1	0.181636	0.183258	0.181406	0.177559	0.172527	0.166792	0.160654	0.15431	0.147893	0.141494	0.135177	0.128986	0.122952	0.117098	0.111437	0.105978	0.100728	0.0956863	0.0908546	0.0862304	0.0818104	0.0775902	0.0735648	0.0697286	0.0660754	0.062599	0.0592928	0.0561503	0.0531649	0.05033	0.0476393	0.0450862	0.0426646	0.0403685	0.0381919	0.0361292	0.0341749	0.0323236	0.0305704	0.0289103	0.0273386
0.2	0.2	0.345492	0.332264	0.320387	0.308709	0.296943	0.28509	0.27323	0.261459	0.249857	0.238491	0.22741	0.216652	0.206242	0.196196	0.186526	0.177235	0.168324	0.159791	0.15163	0.143834	0.136394	0.129301	0.122544	0.116111	0.109991	0.104173	0.0986441	0.0933926	0.0884068	0.0836753	0.0791866	0.0749297	0.0708938	0.0670686	0.0634438	0.0600099	0.0567573	0.0536772	0.050761	0.0480002	0.0453871
0.2	0.3	0.475528	0.45414	0.434663	0.416081	0.398036	0.380426	0.363245	0.346518	0.330279	0.314555	0.299368	0.284734	0.270658	0.257146	0.244193	0.231794	0.21994	0.20862	0.197819	0.187523	0.177715	0.168381	0.159501	0.151059	0.143038	0.13542	0.128188	0.121325	0.114815	0.108641	0.102788	0.0972404	0.0919839	0.0870042	0.0822878	0.0778215	0.0735928	0.0695898	0.0658008	0.062215	0.0588219
0.2	0.4	0.559017	0.532822	0.508676	0.485586	0.463252	0.441604	0.420644	0.400391	0.380863	0.362073	0.344027	0.326722	0.310152	0.294307	0.279172	0.264729	0.250959	0.237842	0.225355	0.213476	0.202183	0.19145	0.181257	0.17158	0.162396	0.153684	0.145421	0.137588	0.130164	0.123129	0.116464	0.110151	0.104173	0.0985131	0.093155	0.0880834	0.0832837	0.0787418	0.0744444	0.0703788	0.0665328
0.2	0.5	0.587785	0.559643	0.533599	0.508641	0.484494	0.461116	0.438528	0.416764	0.395844	0.375781	0.356573	0.338215	0.320689	0.303978	0.288058	0.272904	0.258489	0.244787	0.231769	0.219406	0.207672	0.196538	0.185978	0.175965	0.166474	0.15748	0.148958	0.140887	0.133243	0.126005	0.119153	0.112667	0.106529	0.10072	0.0952239	0.090024	0.085105	0.0804519	0.0760509	0.0718886	0.0679522
